ID,Placa,Produto,Peso Bruto,Peso Liquido
L2026-000000,ABC4723,Soja,38.34201327699635,26.05417877224465
L2026-000001,ABC3976,Algodão,33.85247888955477,27.115204028813462
L2026-000002,ABC8875,Milho,35.94727555021835,28.284223833846365
L2026-000003,ABC2447,Milho,36.92335934369844,27.15868909572868
L2026-000004,ABC5997,Algodão,36.36431472377997,26.27135214670233
L2026-000005,ABC5778,Milho,38.801743909816395,27.124061966721076
L2026-000006,ABC2488,Algodão,38.496842745094,26.35959265447703
L2026-000007,ABC6671,Milho,44.151129663470755,28.024938272391793
L2026-000008,ABC2361,Soja,25.857478984328942,27.857478984328942
L2026-000009,ABC7195,Trigo,35.86893252992027,25.131296229054072
L2026-000010,ABC7103,Soja,35.633743678405104,26.692826192399394
L2026-000011,ABC8302,Soja,33.14028259595661,25.20561206339696
L2026-000012,ABC8816,Algodão,34.53805035154966,28.70904361446309
L2026-000013,ABC4210,Milho,38.70389299001209,28.317934055835604
L2026-000014,ABC4971,Milho,31.273049948659736,28.613518882479045
L2026-000015,ABC8593,Algodão,44.54458001860934,28.55069621459692
L2026-000016,ABC7882,Soja,31.383745255023463,26.90003476380671
L2026-000017,ABC4296,Milho,36.86941398283571,26.852023682003498
L2026-000018,ABC3076,Milho,36.98901009646498,27.402752287882272
L2026-000019,ABC5236,Trigo,37.16021936700754,25.94660203584537
L2026-000020,ABC7789,Trigo,37.022325299675174,25.38093132787018
L2026-000021,ABC2472,Soja,41.28466988823617,27.05862333984461
L2026-000022,ABC5883,Trigo,34.84514064999043,25.514231973065264
L2026-000023,ABC3216,Algodão,40.22205378220095,27.659821719318213
L2026-000024,ABC6992,Soja,42.56879295173355,28.992452372904815
L2026-000025,ABC8840,Trigo,40.10321936019599,27.32045483383756
L2026-000026,ABC2943,Soja,39.134234679766394,25.090231754534372
L2026-000027,ABC5711,Algodão,42.90863627382095,25.706086204157806
L2026-000028,ABC6280,Trigo,31.695982793335084,28.855391799922387
L2026-000029,ABC6887,Algodão,39.190544432175344,27.81848782739384
L2026-000030,ABC5646,Milho,42.541470936131084,27.222638011129906
L2026-000031,ABC7504,Milho,42.224287994570524,25.521252125429157
L2026-000032,ABC4580,Milho,38.84367505170255,27.04558138019374
L2026-000033,ABC4701,Soja,35.7395566458714,27.738928033459374
L2026-000034,ABC6573,Algodão,36.23497270963567,28.387842027179055
L2026-000035,ABC5610,Trigo,35.81313450865301,26.43181774371788
L2026-000036,ABC3765,Soja,26.6569178136182,28.6569178136182
L2026-000037,ABC5721,Soja,30.902223918890463,26.97013188560426
L2026-000038,ABC5382,Milho,38.70315309150747,26.605992046242413
L2026-000039,ABC7550,Algodão,38.19817605907666,26.84432911270188
L2026-000040,ABC4771,Trigo,37.59973075980762,25.560584555160936
L2026-000041,ABC4057,Trigo,37.754486437904404,26.355869226686206
L2026-000042,ABC4177,Trigo,30.177673400570615,25.664478042075956
L2026-000043,ABC8117,Algodão,31.143188596969054,28.42584574037274
L2026-000044,ABC4130,Milho,42.729130393297176,26.778284832716068
L2026-000045,ABC3699,Trigo,36.072640300973184,25.174662198475403
L2026-000046,ABC9767,Trigo,32.691508067765106,28.158477826787063
L2026-000047,ABC6119,Trigo,35.84836476218424,27.870723636189723
L2026-000048,ABC7592,Milho,35.842656647953085,26.774533876725922
L2026-000049,ABC3640,Trigo,26.517475363654235,28.517475363654235
L2026-000050,ABC8565,Soja,32.65649875239338,26.59074423901177
L2026-000051,ABC3259,Trigo,41.99947414578136,27.74626656547975
L2026-000052,ABC2985,Algodão,37.95252628649298,25.6181791185083
L2026-000053,ABC8604,Trigo,43.850046389584286,28.474214678631725
